date,open,close,
2024-10-09,4.110,3.854,080
2024-10-10,3.885,3.924,100
2024-10-11,3.913,3.817,120
2024-10-14,3.824,3.881,120
2024-10-15,3.856,3.775,120
2024-10-16,3.748,3.748,120
2024-10-17,3.765,3.706,130
2024-10-18,3.703,3.856,130
2024-10-21,3.890,3.859,130
2024-10-22,3.845,3.878,130
2024-10-23,3.875,3.893,130
2024-10-24,3.879,3.849,130
2024-10-25,3.849,3.878,130
2024-10-28,3.880,3.883,130
2024-10-29,3.892,3.852,130
2024-10-30,3.837,3.814,130
2024-10-31,3.805,3.812,130
2024-11-01,3.811,3.820,130
2024-11-04,3.820,3.870,130
2024-11-05,3.860,3.971,100
2024-11-06,3.973,3.947,070
2024-11-07,3.925,4.078,080
2024-11-08,4.097,4.024,070
2024-11-11,3.992,4.047,085
2024-11-12,4.046,4.004,085
2024-11-13,3.982,4.029,085
2024-11-14,4.025,3.959,070
2024-11-15,3.951,3.896,070
2024-11-18,3.910,3.877,100
2024-11-19,3.881,3.897,100
2024-11-20,3.885,3.906,090
2024-11-21,3.898,3.912,070
2024-11-22,3.906,3.797,075
2024-11-25,3.797,3.775,110
2024-11-26,3.762,3.765,110
2024-11-27,3.762,3.829,115
2024-11-28,3.825,3.800,115
2024-11-29,3.798,3.840,095
2024-12-02,3.840,3.870,080
2024-12-03,3.870,3.873,080
2024-12-04,3.869,3.856,090
2024-12-05,3.849,3.847,090
2024-12-06,3.846,3.895,090
2024-12-09,3.890,3.893,090
2024-12-10,4.050,3.922,070
2024-12-11,3.918,3.913,090
2024-12-12,3.917,3.951,095
2024-12-13,3.929,3.861,105
2024-12-16,3.859,3.838,110
